"Status","Host","IP Address","Operating System","Failed Count","Needed Count","Installed Count","Last Contact"
"pending","ceecee.spimageworks.com","172.30.117.101","Windows 7 Professional",0,19,87.00%,10/15/12 04:30 PM
"pending","7hawk181.spimageworks.com","172.29.151.132","Windows 7 Enterprise Edition",0,3,99.00%,04/03/13 10:36 AM
"pending","uta.spimageworks.com","172.29.14.53","Windows XP Professional",0,4,87.00%,10/21/12 08:56 AM
"pending","jaguar80004742.spimageworks.com","172.30.11.124","Windows 7 Professional",0,44,99.00%,04/03/13 10:12 AM
